"Date","P1","E1","P2","E2","P3","E3","Q"
2005-03-15,0,2.5076,0,2.6475,0,3.5959,3.9072203589
2005-03-16,6.12,1.5985,21.73,1.8461,24.68,2.5698,8.0807519088
2005-03-17,0,1.9424,0,1.4723,4.42,2.2966,8.0311298821
2005-03-18,0,3.0969,0,2.3132,0,2.0995,5.8903294141
2005-03-19,0,3.4214,0,3.0209,0,3.2326,4.9226031135
2005-03-20,23.64,2.6677,0,3.1887,0,3.7476,5.0831518236
2005-03-21,0,2.2296,6.68,2.2762,9.9,3.0365,6.5559268222
2005-03-22,17.18,2.5178,5.85,2.7996,7.12,3.3572,7.22152032
2005-03-23,0,3.9557,12.26,2.9578,11.82,3.4166,8.6921447309
2005-03-24,0,3.6696,0,3.5629,0,4.3845,6.9263114871
2005-03-25,0,3.8577,0,4.0344,7.06,3.6784,6.3596573807
2005-03-26,0,3.8442,0,3.9135,0,4.5694,5.0174586969
2005-03-27,9.05,3.1871,9.26,2.8728,45.6,3.3746,14.792289
2005-03-28,5.51,2.2886,0,3.3598,22.98,3.6052,15.8864186474
2005-03-29,0,3.9343,0,3.6231,0,4.3063,7.8882249869
2005-03-30,0,3.9493,0,3.8474,0,4.6588,4.5314183107
2005-03-31,0,3.9642,31.36,2.7793,0,4.4617,4.9460446534
2005-04-01,9.99,3.4562,112.2,2.8756,102.29,2.8632,38.0271402672
2005-04-02,0,3.8836,0,3.763,42.2,3.2788,45.5907701157
2005-04-03,0,4.0713,0,3.6802,0,4.1204,24.4057596359
2005-04-04,0,4.2739,0,3.9373,0,4.5802,13.7143057766
2005-04-05,0,4.001,0,4.0526,0,4.8147,9.8111082729
2005-04-06,15.05,3.0544,20.12,2.8356,0,4.7612,8.5018859957
2005-04-07,0,4.3048,14.97,2.6108,63.13,3.3287,23.5949688948
2005-04-08,0,3.7979,0,2.9655,0,4.4464,17.3883534192
2005-04-09,0,4.4336,0,3.8392,0,4.3486,7.4653643214
2005-04-10,0,4.5256,0,4.3422,0,5.0663,5.8922585819
2005-04-11,0,3.8855,0,3.979,0,4.7956,4.8867546803
2005-04-12,42.11,3.479,32.97,3.2774,24.27,3.5702,10.917005154
2005-04-13,0,4.5236,0,4.4895,0,5.0389,11.4775107092
2005-04-14,0,4.3439,0,4.1577,0,4.8341,8.2609741209
2005-04-15,0,4.3658,0,4.026,0,4.4712,6.4820290654
2005-04-16,0,4.7593,0,4.5105,0,5.1245,5.2197986631
2005-04-17,0,4.9502,0,4.5923,0,5.1672,4.4321914611
2005-04-18,0,4.7377,0,4.5772,0,5.2702,3.9687381855
2005-04-19,0,4.515,0,4.4626,0,5.2718,3.7073306474
2005-04-20,0,4.7025,0,4.4729,0,4.946,3.5625513027
2005-04-21,0,4.6322,0,4.6739,0,5.3018,3.4819203571
2005-04-22,0,4.4936,0,4.6536,23.9,4.295,6.3424635528
2005-04-23,0,4.97,0.72,4.5166,10.7,4.2202,6.5964505898
2005-04-24,0,4.3926,0,3.9593,0,4.593,4.3868766855
2005-04-25,5.95,3.2382,0,3.8245,0,4.4528,3.7644004584
2005-04-26,7.12,2.8695,12.1,2.9401,28.74,3.4574,9.525444948
2005-04-27,0,4.7563,0,4.4655,9.25,3.9899,9.1137611235
2005-04-28,0,5.1453,0,4.7,0,5.4213,5.3673524407
2005-04-29,0,5.1462,0,4.8316,0,5.4384,4.1188184801
2005-04-30,6.92,4.5038,52.96,3.3041,0,5.0881,5.5298193489
2005-05-01,0,3.9847,7.75,3.1945,64.71,3.5943,22.3033586683
2005-05-02,0,4.5652,0,4.3533,0,5.2334,15.7738766095
2005-05-03,0,4.7266,0,4.427,0,5.3806,6.9173835578
2005-05-04,1.59,4.186,0,4.1303,0,5.2201,5.5803853821
2005-05-05,0,4.5714,0,4.5246,0,5.0621,4.7226705327
2005-05-06,0,5.1734,0,4.7502,4.95,4.3511,4.5247097653
2005-05-07,0,5.4298,0,4.7973,0,5.565,3.9121418708
2005-05-08,0,5.2162,0,4.7888,0,5.7737,3.6257569986
2005-05-09,4.43,3.7475,0,4.7848,0,5.8396,3.629819681
2005-05-10,0,5.0747,3.79,3.6261,0,5.6985,3.7152660106
2005-05-11,0,5.4511,0,5.0827,0,5.8752,3.6855839522
2005-05-12,0,5.6274,0,5.2915,0,6.0609,3.5806748399
2005-05-13,0,5.3796,0,5.1096,0,6.0484,3.4813128109
2005-05-14,0,5.3867,0,5.0575,0,5.8217,3.4084428071
2005-05-15,0,5.3945,0,4.7338,0,5.3531,3.3594274003
2005-05-16,0,5.5418,0,5.2318,0,5.7665,3.3269705841
2005-05-17,0,5.3866,0,5.1076,0,6.1155,3.3047953654
2005-05-18,0,5.8314,0,5.3072,0,6.2547,3.2886217173
2005-05-19,0,5.7826,0,5.4093,0,6.4204,3.2758162269
2005-05-20,0,5.606,0,5.3528,0,6.2293,3.2648610519
2005-05-21,0,5.5441,0.29,5.2482,0,6.2598,3.2577451145
2005-05-22,0,6.132,0,5.3123,0,6.378,3.2522056101
2005-05-23,0,6.1789,0,5.4512,0,6.2299,3.2432605561
2005-05-24,0,6.0798,0,5.5701,0,6.1579,3.2330524604
2005-05-25,0,5.67,1.46,5.1489,0,6.763,3.2348695919
2005-05-26,0,5.4908,0,5.3098,0,6.3141,3.241628557
2005-05-27,0,5.8617,0,5.5106,0,6.6209,3.2332569564
2005-05-28,0,6.0716,0,5.6081,0,6.6963,3.2188632481
2005-05-29,13.63,4.572,3.63,5.043,0,6.379,3.6662869642
2005-05-30,15.7,3.3858,49,3.3804,0.64,5.8429,5.4134577628
2005-05-31,7.17,3.1511,18.48,2.5822,13.94,3.6494,8.4586647723
2005-06-01,4.17,2.8444,26.84,2.2279,52.17,2.8169,19.3281477673
2005-06-02,0,4.9556,0,4.2659,12.08,3.698,14.3754216833
2005-06-03,0,5.7399,0,5.2801,18.83,3.9721,12.0957897585
2005-06-04,0,5.8488,0,5.2852,1.75,5.0989,7.4706406252
2005-06-05,0,5.9275,0,4.9614,0,4.9994,5.0298137888
2005-06-06,17.13,4.6944,0,4.6872,0,5.6419,4.7713638606
2005-06-07,20.31,4.6,8,3.6591,4.29,5.3635,5.8806300421
2005-06-08,11.55,4.0863,0,5.547,0,6.3318,6.029786373
2005-06-09,0,5.7555,0,5.6727,10.13,5.1623,6.369306654
2005-06-10,0,5.6213,10.87,4.1175,0,6.0228,4.97264685
2005-06-11,0,5.6376,13,3.2307,31.08,3.5099,10.0292789523
2005-06-12,0,5.7859,11.44,3.8957,51.53,3.361,19.2222847581
2005-06-13,0,5.6848,0,5.3462,0,5.9297,9.9750285057
2005-06-14,0,6.0048,0,5.5961,0,6.5573,5.0180388048
2005-06-15,0,6.0333,0,5.8224,0,6.7455,4.3453285493
2005-06-16,0,6.3318,0,6.104,0,7.0947,3.9349356736
2005-06-17,14.55,4.7803,0,6.0389,0,7.1194,4.137023287
2005-06-18,18.89,3.7812,8,4.187,0.9,6.3359,5.048206759
2005-06-19,0,6.098,0,5.9003,0,7.0407,5.2045609442
2005-06-20,0,6.1667,0,5.8084,0,6.9332,4.5403083828
2005-06-21,0,6.0309,0,5.788,0,6.716,3.9696995161
2005-06-22,0,6.2111,0,5.9632,0,7.0646,3.6328812841
2005-06-23,0,6.2694,0,6.0604,0,7.226,3.4554154602
2005-06-24,0,6.2538,0,6.0776,0,7.2067,3.3637377237
2005-06-25,0,6.1933,0,6.0573,0,7.162,3.3146112981
2005-06-26,0,6.1551,0,5.9719,0,6.9612,3.2859844982
2005-06-27,0,6.2669,0,5.7925,0,6.1999,3.2672092687
2005-06-28,0,6.085,0,5.7043,0,6.411,3.2532367089
2005-06-29,0,6.2533,0,5.4912,5.96,4.0545,3.5542776814
2005-06-30,0,6.2007,0,5.4202,11.19,4.3459,4.2531618728
2005-07-01,0,6.423,0,5.8898,0,6.6615,3.4275091262
2005-07-02,24.04,5.2068,0,5.6014,0,7.04,4.0561826298
2005-07-03,11.97,4.6587,0,6.0817,12.19,5.4186,5.9663587277
2005-07-04,0,5.7424,0,5.5346,0,6.4463,4.843913433
2005-07-05,0,5.7296,33.82,4.1018,8.85,4.1778,5.3864006007
2005-07-06,0,5.69,70.73,4.0752,6.89,4.155,7.6941576431
2005-07-07,0,5.6801,26.76,3.9768,18.68,4.5023,13.2315251389
2005-07-08,9.11,4.5942,0,5.6819,0,6.5911,11.775287498
2005-07-09,0,5.3792,10.8,4.2347,0,6.6513,10.0642711721
2005-07-10,0,6.0767,13.76,3.6039,24.1,4.7231,12.3580778322
2005-07-11,0,5.6045,15.85,2.9856,66.02,2.923,24.8202036599
2005-07-12,0,6.0909,0,5.1646,0,5.531,12.7089336498
2005-07-13,0,5.9381,5.75,4.0777,15.11,4.7709,9.623474678
2005-07-14,6.88,4.1548,4.5,3.8988,10.32,4.6992,8.8345403446
2005-07-15,9.08,4.0415,9.68,3.7481,12.2,4.6035,9.134191498
2005-07-16,13.78,3.4022,12.41,3.8555,14.91,4.5482,10.5712726389
2005-07-17,10.58,3.6697,7.88,3.8254,0,6.3973,8.5478128134
2005-07-18,0,5.3809,0,5.4792,0,6.7915,7.216871294
2005-07-19,0,5.6193,0,5.3074,0,6.3766,5.9248697131
2005-07-20,0,5.6621,0,5.4241,0,6.5333,4.8979787685
2005-07-21,0,5.8456,15.53,4.4755,2.34,6.3204,4.8128923699
2005-07-22,28.81,4.7353,5.47,5.2402,6.36,5.5264,6.4185203771
2005-07-23,0,5.4791,0,5.7219,0,6.8291,6.5613761838
2005-07-24,0,5.7462,0,5.8459,0,7.1196,5.5763064792
2005-07-25,0,6.0264,0,5.8706,0,7.2347,4.6486831018
2005-07-26,0,6.0329,0,5.5927,0,7.0821,4.0565704403
2005-07-27,0,5.8554,0,5.4322,0,7.0147,3.7226956416
2005-07-28,0,6.0738,0,5.6391,0,6.7591,3.541767981
2005-07-29,0,5.6691,14.88,4.3704,15.68,5.2916,5.0857455768
2005-07-30,0,5.651,0,5.0449,22.73,5.0479,7.8562926902
2005-07-31,0,5.7795,2.23,4.2801,9.92,4.4536,6.7131229496
2005-08-01,5.58,4.8018,11.76,4.0372,14.89,4.4984,7.6272966739
2005-08-02,5.22,4.6608,9.03,3.6655,0,5.3302,5.8314387903
2005-08-03,0.55,6.0401,0,4.7927,13.36,3.7349,7.3589781746
2005-08-04,0,6.0471,12.58,4.073,7.47,4.315,6.7142159623
2005-08-05,0,6.2238,18.81,3.9664,12.14,3.5181,7.8654296938
2005-08-06,0,6.2607,12.43,3.9766,30.07,3.483,13.2232383118
2005-08-07,0,6.1732,0,5.2623,0,5.2014,8.1581860741
2005-08-08,6.7,4.7374,0,5.3204,4.93,4.8175,6.4586046981
2005-08-09,10.42,4.3977,0,5.3774,0,6.3622,5.5841917546
2005-08-10,0,5.8573,10.33,4.1722,12.89,4.992,6.8894518734
2005-08-11,0,5.821,13.75,4.2066,20.75,4.9459,9.33502594
2005-08-12,0,6.0054,0,5.0733,18.76,4.9285,10.1124591705
2005-08-13,0,5.9726,0,5.5988,0,6.4101,6.1072902807
2005-08-14,0,5.931,0,5.4012,0,6.5301,4.4680590439
2005-08-15,4.14,5.545,0,5.4766,0,6.6602,4.1142928296
2005-08-16,7.94,4.5749,0,5.6016,22.28,5.2263,7.1909424921
2005-08-17,0,5.6759,0,5.4225,0.45,6.2951,5.0967091747
2005-08-18,0,5.5969,0,5.3893,0,6.4926,3.9277892472
2005-08-19,0,5.5441,0,5.3646,0,6.4687,3.5918028398
2005-08-20,0,5.6218,0,5.322,0,6.3852,3.4372462338
2005-08-21,0,5.6536,6.65,4.2599,0,6.2965,3.462320284
2005-08-22,27.13,4.533,7.27,4.211,0,6.3963,4.5366282948
2005-08-23,0,5.5849,31.66,4.098,1.85,5.5939,5.9838543108
2005-08-24,0,5.4781,0,4.8626,0,6.0668,6.2616055899
2005-08-25,1.13,5.191,0,5.188,0,6.0851,5.6549576884
2005-08-26,0,5.0088,0,5.008,0,6.0657,4.8996015879
2005-08-27,0,5.0247,0,4.9013,0,5.8387,4.2749398496
2005-08-28,0,5.0933,0,4.8257,0,5.5761,3.8572978389
2005-08-29,0,4.2991,73.4,3.2181,17.51,3.4576,7.5408595397
2005-08-30,0,4.1504,165.29,2.3673,33.32,2.8704,24.3546853076
2005-08-31,0,5.2195,0,4.5481,4.64,4.2455,31.6715692614
2005-09-01,0,5.4141,0,4.7653,19.99,4.4157,31.0699066702
2005-09-02,0,5.3293,0,4.8209,0,6.0325,21.3865714414
2005-09-03,0,5.2027,0,4.9786,0,5.864,14.2210220055
2005-09-04,0,5.381,0,5.0506,0,5.8996,9.7463849879
2005-09-05,0,5.1921,0,4.6578,0,5.6768,6.9717546417
2005-09-06,0,4.9187,0,4.7266,0,5.612,5.3548702878
2005-09-07,0,4.9779,0,4.581,0,5.4334,4.4532692894
2005-09-08,0,4.8981,0,4.6079,0,5.3906,3.9649916311
2005-09-09,0,4.8585,0,4.5732,0,5.6306,3.7048271087
2005-09-10,0,4.9061,0,4.5659,0,5.6137,3.566451047
2005-09-11,0,4.786,0,4.7056,0,5.5453,3.4914908324
2005-09-12,0,4.7747,0,4.6655,0,5.5119,3.4489149969
2005-09-13,0,4.7613,0,4.5538,0,5.4054,3.4226357725
2005-09-14,0,4.5469,0,4.5205,0,5.33,3.4044829815
2005-09-15,0,4.4535,0,4.552,0,5.2727,3.390374202
2005-09-16,0,4.3424,0,4.3794,0,5.2564,3.3783021064
2005-09-17,0.1,4.2172,0,4.2278,0,5.2644,3.3704915377
2005-09-18,0,4.3847,0,4.2567,0,5.1571,3.3620736716
2005-09-19,0,4.5508,0,4.3966,0,5.1671,3.3502415617
2005-09-20,0,4.6765,0,4.3774,0,5.1851,3.3388649958
2005-09-21,0,4.6921,0,4.3629,0,5.1161,3.328499795
2005-09-22,0,4.5747,0,4.1402,0,4.8071,3.3188473547
2005-09-23,0,3.9931,7.61,2.675,4.54,3.4017,3.6540960435
2005-09-24,86.15,1.9314,9.71,2.0851,1.55,3.5901,6.6038382128
2005-09-25,55.26,1.7383,0.64,2.3428,42.95,2.769,17.4988385413
2005-09-26,0,3.6197,0,3.2417,30.75,2.7395,18.2969003934
2005-09-27,0,3.8587,0,3.8244,53.03,2.5384,22.4298670757
2005-09-28,0,3.7729,0,3.8721,0,3.5831,10.1871392433
2005-09-29,0,3.6727,0,3.5669,0,4.2298,5.9489797531
2005-09-30,0,3.3438,0,3.7654,0,4.2982,4.9782484114
2005-10-01,0,3.7454,0,3.6178,0,4.0554,4.1499523616
2005-10-02,0,3.5628,0,3.4377,0,3.7453,3.6705082513
2005-10-03,0,3.5009,0,3.3236,0,3.7264,3.4410863318
2005-10-04,0,3.4235,0,3.3476,0,3.8972,3.339587369
2005-10-05,0,3.4533,0,3.3057,0,3.789,3.294593082
2005-10-06,0,3.5451,0,3.2237,3.25,2.649,3.4618345082
2005-10-07,0,3.2892,0,2.9793,6.71,1.7704,3.8458910448
2005-10-08,0,2.568,0,2.7165,0,3.3948,3.3510301123
2005-10-09,0,2.8396,0,3.0652,0,3.3642,3.2908678986
2005-10-10,0,2.9692,0,3.0746,0,3.3647,3.2647677814
2005-10-11,0,3.0449,0,3.1363,0,3.7101,3.2491948515
2005-10-12,0,3.2221,0,3.1646,0,3.8289,3.2380109268
2005-10-13,0,3.1794,0,3.1031,0,3.6988,3.2290272034
2005-10-14,0,3.1966,0,3.0932,0,3.7392,3.2213005974
2005-10-15,0,3.1298,0,3.0235,0,3.6689,3.21437046
2005-10-16,0,3.1016,0,3.0144,0,3.5828,3.2079908644
2005-10-17,0,3.0698,0,2.8727,0,3.362,3.2020229003
2005-10-18,0,3.0847,0,2.7962,0,3.2636,3.1963871227
2005-10-19,0,3.0565,0,2.877,0,3.2989,3.1910314889
2005-10-20,0,2.9869,0,2.8426,0,3.3609,3.1859151173
2005-10-21,0,2.7783,0,2.8019,0,3.3762,3.1810067801
2005-10-22,0,2.5959,0,2.6628,0,3.3064,3.1762862276
2005-10-23,0,2.4373,0,2.3691,0,2.8807,3.1717487716
2005-10-24,0,2.2095,0,2.2116,0,2.716,3.1674025745
2005-10-25,0,1.9548,0,1.8504,0,2.2393,3.1632636347
2005-10-26,0,1.9806,0,1.8228,0,2.1962,3.1593480575
2005-10-27,0,2.0069,0,1.9085,0,2.3121,3.1556559808
2005-10-28,0,1.9877,0,1.9168,0,2.3617,3.1521703663
2005-10-29,0,1.9685,0,1.8839,0,2.3278,3.1488669803
2005-10-30,0,2.0457,0,1.9041,0,2.2831,3.1457209926
2005-10-31,0,2.1499,0,1.9552,0,2.2966,3.1427077834
2005-11-01,15.17,1.7581,4.41,1.608,0,2.316,3.6527769976
2005-11-02,0,1.8568,0,1.7979,16.16,1.6013,5.4942488489
2005-11-03,0,1.9249,0,1.849,0,2.2556,3.9262423118
2005-11-04,0,2.0167,0,1.9682,0,2.3595,3.5144140967
2005-11-05,0,1.9829,0,1.8084,0,2.2952,3.3212562821
2005-11-06,0,2.0895,5,1.5267,6.64,1.8971,3.88667283
2005-11-07,0,2.0758,0,2.0017,0,2.3205,3.362222267
2005-11-08,0,2.0985,0,2.0555,0,2.4002,3.2978729836
2005-11-09,0,1.9121,0,1.9973,0,2.3335,3.2529896093
2005-11-10,0.71,1.8324,0,1.8694,0,2.191,3.2425797857
2005-11-11,0,1.7315,0,1.6498,0,1.9007,3.2338434657
2005-11-12,0,1.8065,0,1.6118,0,1.9225,3.2058597125
2005-11-13,0,1.8422,0,1.728,0,2.0544,3.1842716394
2005-11-14,0,1.8256,0,1.7247,0,2.0083,3.1714010204
2005-11-15,1.52,1.747,0,1.6167,0,2.0035,3.2123609892
2005-11-16,35.53,1.4672,8.8,1.4519,16.47,1.7322,6.2070967412
2005-11-17,0,1.1821,0,1.1295,0,1.4437,5.5153351073
2005-11-18,0,1.1708,0,1.1201,0,1.3616,4.6183924799
2005-11-19,0,1.2469,0,1.2237,0,1.453,3.9138231373
2005-11-20,0,1.3171,0,1.2926,0,1.5527,3.5242686166
2005-11-21,0,1.3129,7.15,1.0879,6.93,1.3547,4.1469632007
2005-11-22,0,1.2878,0,1.1187,0.58,1.2162,3.5800038516
2005-11-23,0,1.3727,0,1.2216,0,1.4069,3.4325988187
2005-11-24,0,1.4796,0,1.3558,0,1.5282,3.3538098517
2005-11-25,0,1.4329,0,1.3753,0,1.6708,3.2961116904
2005-11-26,0,1.3279,0,1.3292,0,1.548,3.2573364784
2005-11-27,31.47,1.242,36.35,1.2215,30.87,1.3793,10.1942507061
2005-11-28,6.64,1.3634,0,1.4182,24.88,1.2957,13.3667980841
2005-11-29,0,1.2187,1.59,1.2253,11.36,1.5548,10.1636487609
2005-11-30,0,1.0932,0,1.0477,0,1.3532,5.8783089751
2005-12-01,0,1.1552,0,1.0906,0,1.2809,4.4740437629
2005-12-02,0,1.1753,0,1.0937,0,1.3326,3.9097783973
2005-12-03,0,1.2529,0,1.1642,0,1.3166,3.6129017822
2005-12-04,0,1.5861,0,1.396,0,1.6491,3.4553190314
2005-12-05,8.46,1.1215,35.18,1.1057,15.1,1.442,7.1708902699
2005-12-06,0,0.9285,0,0.8728,12.55,1.128,8.9750559235
2005-12-07,0,0.9666,0,0.9472,0,1.1924,6.217534222
2005-12-08,4.68,0.8562,0,1.0237,0,1.1585,5.1188962185
2005-12-09,0,0.7772,6.49,0.8364,0.03,1.2184,4.7179866717
2005-12-10,0,0.8477,0,0.8483,0,1.1145,4.4115380104
2005-12-11,0,0.9866,0,0.9358,0,1.1843,4.0685402941
2005-12-12,0,1.0718,0,1.0377,0,1.2,3.7904552882
2005-12-13,0,1.0795,0,1.0452,0,1.2416,3.6012907014
2005-12-14,0,1.1228,0,1.1033,0,1.218,3.4841821823
2005-12-15,67.24,0.9777,35.76,1.0134,49.14,1.1632,17.1529827104
2005-12-16,0,0.9587,0,0.9307,0,1.1663,12.359786151
2005-12-17,7,0.726,0,0.8418,8.79,0.994,10.2542081288
2005-12-18,0,0.8892,1.55,0.8999,6.83,0.8616,8.6346872719
2005-12-19,0,0.9501,0,0.9833,0,1.1563,5.9294432558
2005-12-20,0,0.8938,0,0.9274,0,1.1279,4.7815692248
2005-12-21,0,0.7717,0,0.8879,0,1.0627,4.1378172792
2005-12-22,0,0.8898,0,0.8806,0,1.0288,3.7643664764
2005-12-23,0,0.9674,0,0.925,0,1.0493,3.5663687163
2005-12-24,0,1.092,0,1.0978,0,1.146,3.4658105524
2005-12-25,0,1.2064,11.17,1.002,15.07,1.2154,6.442842157
2005-12-26,0,1.0462,0,0.9664,0,1.1388,4.8444349947
2005-12-27,0,1.1612,0,1.0696,0,1.2106,4.2069061264
2005-12-28,0,1.3657,0,1.245,0,1.3689,3.9332996308
2005-12-29,0,1.2138,0,1.206,0,1.4684,3.7226842402
2005-12-30,0,1.2171,0,1.1533,0,1.2882,3.5765327371
2005-12-31,0,1.2743,0,1.2454,0,1.3445,3.4838262988
2006-01-01,0,1.3661,0,1.172,0,1.3308,3.4280241234
2006-01-02,0,1.4853,0,1.3306,28.49,1.3901,8.7305034781
2006-01-03,0,1.2981,0,1.3766,0.8,1.6213,5.1801863351
2006-01-04,0,1.3378,0,1.235,0,1.3963,3.6034769696
2006-01-05,0,1.3668,0,1.2932,0,1.4748,3.4365373464
2006-01-06,0,1.1608,0,1.0244,0,1.3414,3.3902826234
2006-01-07,0,1.0452,0,0.8616,0,0.983,3.3692998972
2006-01-08,0,1.2622,0,1.0914,0,1.199,3.3569629114
2006-01-09,0,1.5091,0,1.3476,0,1.4744,3.3484225751
2006-01-10,0,1.4784,0,1.4186,0.75,1.6392,3.4132490527
2006-01-11,6.42,1.0034,0,1.318,2.38,1.5822,3.7849625821
2006-01-12,0,1.2305,0,1.2876,2,1.5762,3.9025608348
2006-01-13,7,1.2414,14.42,1.1626,0,1.6053,4.1371589416
2006-01-14,0,1.2302,0.08,1.2006,20.22,1.3507,7.9699553974
2006-01-15,0,1.2493,0,1.1501,0,1.3364,5.3702130663
2006-01-16,0,1.3507,0,1.2428,0,1.474,4.1594979284
2006-01-17,43.18,1.1412,12.64,1.2099,7.56,1.4835,6.6917002171
2006-01-18,0,1.1679,0,1.1741,30.83,1.3462,13.8619873438
2006-01-19,0,1.4187,0,1.2735,0,1.4445,7.997046059
2006-01-20,0,1.4769,0,1.3768,0,1.5654,4.8132559118
2006-01-21,0,1.5718,23.68,1.0645,2,1.7162,5.0386836714
2006-01-22,11.18,0.9749,2.59,1.2987,0.21,1.7136,5.7221645847
